name,score
lesscpy_lesscpy,1
the-events-calendar/the-events-calendar,1
js-cli_js-liftoff,1
bostko_doc2text,1
europeana_Europeana-Patternlab,1
fmd_lazyconf,1
silvershop/silvershop-shipping,0
spring-guides_gs-accessing-data-mongodb,1
satya-das_cppparser,1
frappe_erpnext,1
prodis_correios-cep,0
colons_instant-coverage,1
OCHA-DAP_hdx-ckan,1
ThomasWeinert_carica-io,0
byroot_frozen_record,1
socketio_socket.io-redis,1
IgniteUI_igniteui-angular,1
letrunghieu_wordpress-xmlrpc-client,0
ts-3156/twitter-with-auto-pagination,1
ysc_word,1
SonarSource_sonarqube,1
edx_edx-ora2,1
dpkp_kafka-python,1
draios_sysdig,1
pouchdb_pouchdb,1
capacity4dev_capacity4more,0
saalfeldlab_render,1
fenos_Notifynder,1
open-keychain_open-keychain,1
feldoh_JZookeeperEdit,1
cheeriojs_cheerio,1
benbalter_site-inspector,1
telerik_kendo-ui-core,1
marcusps_GraphSim,0
sirixdb_brackit,1
rjrodger_use-plugin,0
JCMais_node-libcurl,1
usharesoft_hammr,1
j4velin_WiFi-Automatic,1
leanote_leanote,0
NetCommons3_Boxes,0
broadinstitute_picard,1
enova_landable,1
Vinelab_NeoEloquent,1
whitesmith_rubycritic,1
bpmn-io_diagram-js,1
coffeestats_coffeestats-django,0
mapbox_cardboard,1
crate_crate-jdbc,1
okpy/ok,1
commercetools/commercetools-sunrise-java,1
UB-Mannheim_PalMA,1
mixpanel_mixpanel-js,1
pyprism/Hiren-Vault,1
MariaDB_server,1
panterch_future_kids,1
cakephp_acl,1
bakercp_ofxTaskQueue,0
narrowspark_framework,1
j-schumann_translation-module,0
rapid7_recog,1
PR2_pr2_calibration,0
ccnmtl_dmt,1
jimmoores_quandl4j,1
Opetushallitus_omatsivut,1
sportngin_hubstats,1
mapbox_node-fontnik,1
segiddins_segiddins.me,0
pytroll_trollsift,0
churchill-lab_emase,1
arvindr21_diskDB,0
ratchetphp_Pawl,1
iVantage_angular-ivh-treeview,0
ethereum_ethereumj,1
abotalov_waiting_rspec_matchers,0
sgnl05/sgnl05-sssd,1
KonstantinKuklin_HandlerSocketLibrary,0
OCA_account-financial-tools,1
OCA/account-reconcile,1
choury_sproxy,0
OCA_geospatial,1
Netflix_security_monkey,1
OCA_report-print-send,1
OCA_stock-logistics-warehouse,1
OCA_vertical-medical,1
vend_mysql-uuid,1
marvin255_serviform,1
OCA_sale-workflow,1
OCA_product-attribute,0
OCA_server-tools,1
mozilla/foundation-security-advisories,1
OCA_partner-contact,1
AzureAD_azure-activedirectory-library-for-android,1
OCA_commission,1
OCA_reporting-engine,1
kinglozzer_silverstripe-multiselectfield,1
OCA_account-invoicing,1
pagekit_pagekit,1
tim-group_java-statsd-client,1
Project-OSRM_osrm-backend,1
rapid7_metasploit-credential,1
MediaArea/MediaInfoLib,1
bkg_django-spillway,1
leapmotion_autowiring,1
docker/docker-py,1
morphoorg/morpho,1
gaul/s3proxy,1
SUSE_machinery,1
guardian_scribe-plugin-noting,0
openmrs_openmrs-contrib-android-client,0
ushahidi_platform-client,1
codecentric_spring-boot-admin,1
stellar_stellar-client,1
sideway/joi,1
getgrav_grav,1
parse-community/parse-php-sdk,1
mapbox_mapbox-gl-styles,0
thenables_thenify,0
hrbrmstr_iptools,1
fex-team_node-ral,0
neobrain_nihstro,1
enobufs_dtimer,0
neu-rah_ArduinoMenu,1
analogdevicesinc_libsmu,1
praxis/praxis,1
Netflix-Skunkworks/Scumblr,1
massiveart_MassiveSearchBundle,1
numenta_htm.java,1
lsst_obs_sdss,0
animachine_animachine,0
mulesoft-labs/raml-for-jax-rs,1
instedd_resourcemap,1
nadirhamid_oneline,1
zecure_shadowd_php,1
thinkshout_feeding-texas,0
lpaulsen93/dokuwiki-plugin-odt,0
demokratikollen/demokratikollen,0
Sage-Bionetworks_BridgeJavaSDK,1
gbmhunter/MFixedPoint,1
cdapio/coopr,1
optimizely_nuclear-js,1
facebook_mcrouter,1
DMKEBUSINESSGMBH_typo3-mksearch,0
Sanji-IO_sanji,1
OpenTOSCA_container,1
cdapio/cdap_cookbook,1
virtuald_pyhcl,1
LaTruelle_Geac,0
OpenSOC_opensoc-streaming,1
SC5_sc5-styleguide,1
woocommerce/storefront,0
shaggy8871_frame,0
ventoviro_windwalker-test,0
ILIAS-eLearning_ILIAS,1
pmviva_follow_system,0
pomm-project_Cli,1
stacktracejs_stack-generator,0
libbitcoin_libbitcoin-server,1
libbitcoin_libbitcoin-blockchain,1
joni2back_angular-filemanager,1
Comcast_zucchini,1
Pylons_paginate,1
victorhaggqvist_libtodotxt,0
edhille_func-midi-parser,0
smartdevicelink_sdl_core,1
HubSpot_jinjava,1
jansenfelipe_cpf-gratis,0
hzxie/voj,1
imglib_imglib2,1
Kitware_kwiver,1
noironetworks_apic-ml2-driver,1
moneyadviceservice_publify,1
leancloud_javascript-sdk,1
swagger-api_swagger-codegen,1
request_request,1
Aplyca_ansible-role-webapp,0
SUSE_salt-netapi-client,1
AzureAD_azure-activedirectory-library-for-js,1
ipa320_cob_robots,0
arangodb_arangodb-java-driver,1
logstash-plugins_logstash-filter-collate,1
logstash-plugins_logstash-filter-useragent,1
logstash-plugins_logstash-output-lumberjack,1
jjYBdx4IL_example-maven-project-setups,0
DDMAL_Rodan,1
yegor256/hoc,1
Adonai_Man-Man,1
CachetHQ_Cachet,1
logstash-plugins_logstash-input-heartbeat,1
ichylinux_closer,1
webdriverio_cucumber-boilerplate,1
mayah_tinytoml,1
sourcelair_castor,0
WikiEducationFoundation_WikiEduDashboard,1
pine/illya,0
gabynaiman_eternity,1
keboola_geocoding-augmentation,0
vahtras/loprop,0
CityOfPhiladelphia_phila.gov,1
apache/druid,1
riesenia_kendo,0
michaeljennings_carpenter,1
rom-rb_rom-csv,1
philr_bzip2-ffi,0
kimihito_minotake,0
kmpm_nodemcu-uploader,1
cosmicradiotv_livehub,0
thephpleague_flysystem-sftp,1
ctreatma_beer_bot,0
hawkular_hawkular-alerts,1
anthony-quiros_openChat,1
galaxyproject_bioblend,1
standard/standard,0
spatie_ssl-certificate-chain-resolver,1
scrapinghub_scrapinghub-entrypoint-scrapy,1
jeremypoulter_MicroTasks,0
objectiveweb_auth,0
hmcts/hwf-staffapp,1
userfrosting/fortress,1
popphp_pop-loader,0
Granicus/jekyll-ramler,0
unix-junkie_javafs,0
myhdl/myhdl,1
eXolnet_laravel-module,1
sizuhiko_cakephp-fabricate-adaptor,0
rajithaw/workflow-designer,0
sensu-plugins_sensu-plugins-sentry,0
crdoconnor_xeger,0
BookingSync_bookingsync_portal,1
Syncplay_syncplay,1
Crizz0_phpbb3-about-us,0
msdk_msdk,1
nfroidure/yerror,0
alphagov_digitalmarketplace-buyer-frontend,1
projectdx/hancock,1
blueberryapps_translation-server,0
royriojas_eslint-friendly-formatter,1
XadillaX_Toshihiko-Memcached,0
linagora_hublin,1
ULYSSIS-KUL_ipp,1
shekyan_slowhttptest,1
php-tmdb_laravel,0
reactjs_react-docgen,1
Datamart_Komito,1
jredmondson_gams,1
digital-antiquity/DataARC,0
doorkeeper-gem/doorkeeper-jwt,0
samarthbsb_SpringWebsocket,0
tech256_r2d8,1
codenautas_multilang,1
NethServer_nethserver-lang,1
rcannood_incgraph,0
Martin-Dames_Tingeltangel,1
sebastiangoetz_slr-toolkit,1
tarantool_test-run,0
nfe_client-php,1
TerriaJS_terriajs,1
sufleR_sql_query,1
wantedly_dockerfile-terraform,1
informatics-isi-edu_chaise,1
MonicBuilder_monic-loader,0
kontena_kontena,1
emiellohr_paynl-rb,0
naver_android-imagecropview,0
dcendents_android-maven-gradle-plugin,0
I2PC_scipion,1
PabloCastellano_libcnml,0
cibox/cibox,1
esbanarango_ember-model-validator,1
IonicaBizau_tithe,0
agateblue/django-navutils,0
lets-blade/blade,1
everypolitician_everypolitician-data,0
jaywcjlove_hotkeys,1
fastdlabs/container,1
jsalonen_yle-api,0
epics-base_pvDatabaseCPP,1
ogerardin_project-guarana,0
demianmnave_CML,1
roadmanfong_react-skycons,0
Brig13Team_Operation_Kerberos,0
icatproject_authn.simple,0
reduxjs/redux,1
buguroo_pyknow,1
resilience4j/resilience4j,1
Mastercard-Gateway/simplify-android-sdk,1
NethServer_nethserver-base,1
beautifuldonkey_SurvivorsGuide,0
atria-soft_ege,1
arqex_react-datetime,0
remarkjs/remark-html,0
wttech/AEM-Rules-for-SonarQube,1
zzak_mruby-uri,0
miraheze_mw-config,1
react-boilerplate/react-boilerplate,1
statickidz_php-google-translate-free,0
BhallaLab_moose-core,1
GetSky_php-airac,1
