project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
doorkeeper-gem_doorkeeper-jwt,0,0,6,3,0,1,2,3,0,0,0,0
sensu_sensu-chef,0,2,25,1,0,1,12,5,7,0,0,0
fastdlabs_container,0,0,8,1,0,1,2,13,2,0,0,0
ianstormtaylor_slate,1,4,32,3,0,1,3,6,3,0,1,0
gluehbirnenkopf_gradle-jib,0,0,14,1,0,1,2,6,5,0,1,0
jubatus_jubatus,0,14,66,1,0,1,2,6,25,1,0,0
twaugh_journal-brief,0,0,15,2,0,1,12,6,5,0,0,0
JNRowe_versionah,2,0,39,5,0,1,12,13,10,1,0,0
moneyadviceservice_publify,1,0,12,1,0,1,2,6,4,0,1,0
sympy_sympy-bot,0,0,13,1,0,1,12,5,3,0,0,0
PR2_pr2_calibration,6,17,47,4,0,1,12,8,8,0,0,0
excamera_alfalfa,0,0,37,1,1,1,112,6,7,0,0,0
olssonm_l5-very-basic-auth,2,0,44,7,0,1,0,10,3,0,0,0
reactjs_react-docgen,0,1,26,4,0,1,15,9,2,0,1,1
gds-operations_puppet-auditd,1,0,16,2,0,1,3,6,2,0,0,0
lsphillips_RuntimeError,0,0,4,1,0,1,2,3,0,0,0,0
hakan42_chronos,0,0,22,1,0,1,2,4,16,0,0,0
apache_jena,1,0,10,2,0,1,1,4,2,0,0,0
Sage-Bionetworks_BridgeJavaSDK,0,0,12,1,0,1,12,5,1,0,0,1
azkaban_azkaban,1,2,37,1,1,1,10,9,5,0,1,0
popphp_pop-loader,0,0,14,1,0,1,2,16,3,1,0,0
luoqii_android_common_lib,2,10,49,1,0,1,13,8,10,0,0,0
celery_celery,4,0,141,14,1,4,0,16,13,0,1,0
culqi_culqi-java,0,0,15,2,1,1,11,7,1,0,0,0
demianmnave_CML,1,0,53,6,0,1,3,5,8,1,0,0
thoughtbot_suspenders,0,0,16,1,0,1,2,8,7,0,1,0
Integreat_cms,0,7,44,1,0,1,12,39,26,0,0,0
hyperflow-wms_hyperflow,1,0,26,1,0,1,12,9,1,0,0,1
siddharthkp_bundlesize,0,0,9,1,0,1,2,5,0,0,1,0
gmontard_dockrails,0,0,7,2,0,1,2,5,1,0,1,0
jjYBdx4IL_example-maven-project-setups,0,1,27,1,0,1,1,8,10,0,0,0
wmde_FundraisingFrontend,1,5,42,1,1,1,2,24,9,0,1,0
roschaefer_story.board,0,0,31,1,1,1,22,10,4,0,0,1
olivierHa_puppet-influxdb,2,0,21,4,1,1,13,6,4,0,1,0
SuperdeskWebPublisher_SWPMultiTenancyBundle,1,0,33,4,0,1,13,24,6,0,1,0
dimazest_poultry,0,0,14,1,0,1,2,6,4,0,0,0
yegor256_hoc,0,0,29,1,0,1,2,9,11,1,1,0
madhephaestus_ESP32Encoder,1,21,42,1,0,1,12,5,3,0,1,0
travis-ci_travis-api,5,0,42,4,0,2,14,11,4,0,1,0
lttb_reselector,0,0,12,1,0,1,1,5,3,0,1,0
glut23_webvtt-py,0,0,13,6,0,1,2,9,2,0,0,0
spotify_annoy,2,0,34,10,0,1,4,6,2,0,0,0
mate-desktop_caja-dropbox,1,1,76,4,1,1,0,11,6,1,0,1
metamx_java-util,0,0,11,1,0,1,11,6,0,0,1,0
epics-base_pvDatabaseCPP,7,0,32,11,0,1,12,7,2,0,0,0
openknowledge_reactive-jaxrs,1,5,27,1,0,1,12,8,2,0,1,0
spree-contrib_spree_i18n,1,0,50,14,0,1,0,11,7,0,0,0
cakephp_acl,5,0,57,13,0,1,3,30,11,0,0,0
rspec_rspec-core,1,3,36,7,0,1,12,9,4,1,1,0
enkessler_childprocess,3,0,38,21,0,1,14,8,3,0,1,0
frappe_erpnext,0,0,70,2,0,1,1,10,31,0,1,0
europeana_Europeana-Patternlab,0,0,5,1,0,1,2,3,0,0,0,0
rapid7_recog,2,0,26,3,0,1,13,10,4,1,1,0
yeoman_generator,9,0,21,2,0,1,12,6,0,0,0,0
amadeus4dev_amadeus-java,0,3,40,1,0,1,27,9,3,0,0,1
nguyentu1602_algorithm-tdd,0,0,4,1,0,1,2,1,1,0,0,0
elopez17_Soundwave,0,0,12,1,0,1,2,6,4,0,0,0
agateblue_django-navutils,1,3,45,12,0,1,3,6,2,0,0,0
ultraq_redhorizon,0,1,7,1,0,1,2,2,1,0,0,0
OCA_report-print-send,6,2,45,3,0,1,13,8,5,0,1,0
naparuba_shinken,1,12,39,12,0,1,2,9,3,0,1,0
butcherless_gradle-and-java8,0,0,13,1,0,1,2,4,2,0,0,0
telerik_kendo-ui-core,0,0,17,1,0,1,11,7,0,0,1,0
arches_table_print,0,0,10,6,0,1,2,3,0,0,0,0
gbmhunter_MFixedPoint,0,9,34,1,0,1,11,7,3,0,0,0
envato_event_sourcery_todo_app,0,0,10,1,0,1,12,5,2,0,0,0
scrapinghub_scrapinghub-entrypoint-scrapy,1,0,36,4,0,1,4,9,3,1,1,1
AaronRobson_py-elementary-cellular-automaton,0,0,21,4,0,1,2,10,6,0,0,0
phoet_on_ruby,0,0,13,1,0,1,12,8,2,0,1,0
aodn_aodn-portal,3,0,11,1,0,1,12,3,0,0,0,0
alexloboda_SVDFunctions,0,0,13,1,0,1,11,4,0,0,1,0
tarantool_test-run,0,0,15,1,0,1,2,5,6,0,0,0
doctrineum_doctrineum-string,0,0,19,3,0,1,3,17,4,0,0,0
browserify_browserify,0,1,24,10,0,1,13,15,3,0,0,0
akamai_AkamaiOPEN-edgegrid-java,0,0,6,1,0,1,11,5,0,0,0,0
bitcoin-computer_bitcoin-source,0,1,18,1,0,1,2,3,5,0,1,0
thephpleague_flysystem-sftp,1,0,34,12,0,1,14,21,2,0,1,0
WGBH_wagtail-streamfieldtools,1,9,31,9,0,1,12,7,7,0,0,0
ThaDafinser_UserAgentParser,1,1,32,8,0,1,14,22,4,0,0,0
yildiz-online_common-logging-logback,0,0,21,1,0,1,11,6,2,0,1,0
LucaCappelletti94_dictances,1,1,34,1,0,1,2,13,6,0,1,0
Dash-Labs_octo-receiver,2,0,23,2,2,1,2,7,8,0,0,0
I2PC_scipion,1,1,13,1,0,1,21,6,1,0,0,0
enthought_traitsui,4,4,62,3,1,1,2,9,10,0,1,0
LabSEC_libcryptosec,1,0,28,1,0,1,13,6,7,0,0,0
ipfs-shipyard_ipscend,1,1,33,3,0,1,13,9,6,0,0,0
riesenia_kendo,0,0,18,3,0,1,2,17,4,0,1,0
collective_collective.nitf,2,3,47,3,1,1,3,14,10,0,1,0
jejacks0n_teaspoon,3,0,30,4,0,1,12,9,8,0,1,0
fluent_fluentd,1,6,78,11,0,1,12,5,1,1,1,0
NUBIC_surveyor,1,2,18,4,1,1,2,6,2,0,0,0
chaoss_grimoirelab-perceval-puppet,0,0,28,3,0,1,12,9,10,0,0,0
AraBlocks_did-document-public-key,0,0,12,1,0,1,2,6,3,0,1,0
