"travis_id","ght_id","watchers","slug","lang","created_at","last_build_finished_at","order","project_found","log_found","travis_present","first_t_commit","last_t_commit","active","last_build_duration","yml_contribs","yml_commits","job_count","repo_id","build_id","last_build","commits","contribs","last_commit","build_count","first_build","yml_deleted","travis_abandoned","builds_period","travis_period","pushes","PRs","project_age","abandoned","commit_time_after_last_build","abandoned_and_alive","status"
"79697","414535","16","manuelvanrijn/jquery-numeric_input","JavaScript","2012-06-14","2015-06-09","58644","1","1","0","2012-06-22","2015-06-09","0","4","2","2","1","79697","66037017","2015-06-09","50","1","2016-04-19","37","2012-06-22","1","1","1082","1082","34","3","2098","1","315","TRUE","no travis"
"84342","5135220","109","geocoder-php/BazingaGeocoderBundle","PHP","2011-11-16","2017-04-07","20762","1","1","1","2012-09-11","2015-10-28","1","1120","4","15","16","84342","219549219","2017-04-07","193","39","2016-02-25","209","2012-09-11","0","0","1669","1142","106","103","2309","0","-407","FALSE","no travis"
"84370","212014","320","nelmio/NelmioCorsBundle","PHP","2011-11-04","2017-01-27","9590","1","1","1","2013-10-29","2015-12-01","1","393","3","3","5","84370","195982698","2017-01-27","99","18","2017-01-22","76","2013-10-29","0","0","1186","763","40","36","2321","0","-5","FALSE","no travis"
"91247","42651","1","SUSE-Cloud/barclamp-ceph","Ruby","2012-06-14","2015-02-02","180009","1","1","1","2014-06-25","2015-02-17","0","123","2","4","3","91247","49200672","2015-02-02","503","21","2015-07-23","14","2014-08-14","0","1","172","237","13","1","2098","1","171","TRUE","no github"
"93147","112175","6","nodeca/nodeca.users","JavaScript","2011-05-24","2017-03-17","89830","1","1","1","2012-04-15","2017-03-07","1","389","5","23","1","93147","212275867","2017-03-17","1708","10","2017-03-10","2951","2012-10-08","0","0","1621","1787","2951","0","2485","0","-7","FALSE","no travis"
"97460","105912","254","jsocol/django-ratelimit","Python","2011-05-20","2017-02-14","11430","1","1","1","2013-01-04","2016-08-23","1","495","7","23","13","97460","201651126","2017-02-14","164","27","2017-02-14","223","2013-01-04","0","0","1502","1327","87","136","2489","0","0","FALSE","no travis"
"98167","2228494","2","tricknotes/nothub.org","Ruby","2012-01-13","2015-12-25","133908","1","1","1","2013-07-17","2015-12-26","1","146","1","5","1","98167","98792178","2015-12-25","43","2","2015-12-26","14","2013-07-16","0","0","892","892","10","4","2251","0","1","FALSE","no travis"
"106125","507410","69","coderaiser/minify","JavaScript","2012-07-06","2016-11-09","27472","1","1","1","2012-08-01","2016-10-04","1","33","3","18","1","106125","174501331","2016-11-09","804","6","2016-11-09","673","2012-08-01","0","0","1561","1525","656","17","2076","0","0","FALSE","no travis"
"109736","51975","73","netguru/checker","Ruby","2012-04-03","2015-03-03","26539","1","1","1","2012-07-11","2015-03-03","1","124","3","12","5","109736","52867507","2015-03-03","208","4","2015-03-03","91","2012-07-11","0","0","965","965","86","5","2170","0","0","FALSE","no github"
"110256","2663749","1","yast/yast-control-center-gnome","C","2012-05-18","2017-01-27","160400","1","1","1","2014-10-23","2017-01-27","1","175","1","4","1","110256","195792319","2017-01-27","121","20","2017-01-27","40","2014-10-23","0","0","827","827","24","16","2125","0","0","FALSE","no travis"
