travis_id,ght_id,watchers,slug,lang,created_at,last_build_finished_at,order,project_found,log_found,travis_present,first_t_commit,last_t_commit,active,last_build_duration,yml_contribs,yml_commits,job_count,repo_id,build_id,last_build,commits,contribs,last_commit,build_count,first_build,yml_deleted,travis_abandoned,builds_period,travis_period,pushes,PRs,project_age,abandoned,commit_time_after_last_build,abandoned_and_alive
1315427,2147227,8,ligi/gobandroid-ai-gnugo,C,04.03.10,18.10.14,80249,1,1,1,03.10.14,03.10.14,0,409,1,3,1,1315427,38372929,18.10.14,46,3,02.04.16,7,03.10.14,0,1,15,0,6,1,2931,1,532,TRUE
1319132,5381369,4,usgs/hazdev-location-view,JavaScript,16.09.13,05.01.17,107117,1,1,1,16.09.13,26.10.15,1,80,3,6,1,1319132,189278264,05.01.17,551,10,03.01.17,263,16.09.13,0,0,1207,770,105,158,1639,0,-2,FALSE
1323158,14873819,28,yegor256/netbout,Java,21.04.13,16.04.17,45158,1,1,1,21.04.14,01.01.17,1,488,7,17,1,1323158,222601872,16.04.17,4683,40,23.01.17,1588,21.04.14,0,0,1091,986,679,513,1787,0,-83,FALSE
1328468,5421996,95,azavea/django-queryset-csv,Python,18.09.13,02.11.16,22663,1,1,1,14.11.13,02.11.16,1,312,5,15,6,1328468,172674236,02.11.16,143,11,02.11.16,232,14.11.13,0,0,1084,1084,107,125,1637,0,0,FALSE
1332210,5482114,67,ankitpokhrel/Dynamic-Featured-Image,PHP,19.09.13,25.03.17,28039,1,1,1,02.03.15,25.12.16,1,1150,2,11,16,1332210,214905813,25.03.17,338,11,07.03.17,70,18.03.15,0,0,738,664,62,8,1636,0,-18,FALSE
1333209,3853693,262,gdg-x/frisbee,Java,26.05.13,16.04.17,11160,1,1,1,20.09.13,25.12.16,1,380,8,62,1,1333209,222607206,16.04.17,2308,51,02.01.17,1901,20.09.13,0,0,1304,1192,1052,796,1752,0,-104,FALSE
1336210,1867125,17,eserte/perl-tk,C,29.05.10,28.10.16,57090,1,1,1,25.10.13,25.02.16,1,1457,1,12,10,1336210,171509640,28.10.16,909,37,28.10.16,106,25.10.13,0,0,1099,853,93,13,2845,0,0,FALSE
1337474,5431504,10,grouplens/grapht,Java,21.09.13,04.01.17,73192,1,1,1,21.09.13,20.06.16,1,240,4,21,2,1337474,188928574,04.01.17,830,6,04.01.17,234,21.09.13,0,0,1201,1003,138,96,1634,0,0,FALSE
1338850,5450404,12,educreations/django-ormcache,Python,18.09.13,23.10.16,67610,1,1,1,03.10.13,23.10.16,1,609,4,19,17,1338850,169893433,23.10.16,128,3,23.10.16,174,03.10.13,0,0,1116,1116,115,59,1637,0,0,FALSE
1341537,5939298,10,tarantool/tarantool-c,C,23.09.13,22.02.17,73276,1,1,1,09.06.15,16.02.17,1,1400,4,31,14,1341537,204128587,22.02.17,159,12,21.02.17,179,26.11.13,0,0,1184,618,164,15,1632,0,-1,FALSE
1341772,5746259,28,marcaube/StatusBoard,PHP,23.09.13,22.01.15,44849,1,1,1,23.09.13,18.12.14,1,129,2,5,6,1341772,47857457,22.01.15,30,2,21.01.15,28,23.09.13,0,0,486,451,27,1,1632,0,-1,FALSE
1344706,2400905,182,fabioz/Pydev,Java,31.01.13,06.06.15,14642,1,1,1,23.09.13,08.10.13,0,454,1,2,2,1344706,65650946,06.06.15,7800,76,12.04.17,798,08.10.13,0,1,606,15,704,94,1867,1,676,TRUE
1360967,5436051,2,StefanLiebenberg/closure-utilities,JavaScript,26.09.13,08.07.14,136510,1,1,1,28.09.13,22.10.13,1,245,1,33,1,1360967,29392182,08.07.14,214,1,10.02.14,149,28.09.13,0,0,283,24,149,0,1629,0,-148,FALSE
1365817,5564590,19,makinacorpus/django-mapentity,JavaScript,26.09.13,23.03.17,54380,1,1,1,13.05.13,21.02.17,1,557,2,19,3,1365817,214341592,23.03.17,4382,11,08.03.17,865,04.10.13,0,0,1266,1380,674,191,1629,0,-15,FALSE
1372977,5808563,15,chewing/chewing-editor,C++,02.10.13,16.04.17,60917,1,1,1,02.10.13,02.06.16,1,356,3,28,4,1372977,222556276,21.04.17,451,16,28.09.16,426,02.10.13,0,0,1297,974,236,190,1623,0,-205,FALSE
1373098,5532518,127,algolia/algoliasearch-rails,Ruby,17.09.13,13.03.17,18824,1,1,1,02.10.13,15.02.17,1,2795,4,25,9,1373098,210494989,13.03.17,435,29,03.04.17,348,02.10.13,0,0,1258,1232,293,55,1638,0,21,FALSE
1379355,5612230,85,zfcampus/zf-apigility-admin,PHP,15.08.13,19.03.17,24324,1,1,1,01.02.14,09.08.16,1,1018,5,13,9,1379355,212693546,19.03.17,2061,36,12.10.16,679,01.02.14,0,0,1142,920,371,308,1671,0,-158,FALSE
1387061,5623348,73,phergie/phergie-irc-bot-react,PHP,05.10.13,19.12.16,26622,1,1,1,08.04.14,03.08.16,1,229,6,20,4,1387061,185259578,19.12.16,217,15,03.08.16,189,09.04.14,0,0,985,848,125,64,1620,0,-138,FALSE
1389165,4844705,3,rhicspin/cnipol,C++,02.08.13,12.04.17,118923,1,1,1,07.10.13,15.09.15,1,352,2,15,1,1389165,221518406,12.04.17,4791,8,20.03.17,365,06.10.13,0,0,1284,708,364,1,1684,0,-23,FALSE
1393948,5414190,3832,uglide/RedisDesktopManager,C++,05.08.13,14.04.17,810,1,1,1,08.10.13,21.10.16,1,459,2,118,2,1393948,222123245,14.04.17,1301,25,08.02.17,1207,08.10.13,0,0,1284,1109,1040,167,1681,0,-65,FALSE
1413850,3541539,107,grapefruitjs/grapefruit,JavaScript,16.12.12,17.08.14,21038,1,1,1,13.10.13,22.01.14,0,3,2,11,1,1413850,32753510,17.08.14,2066,2,02.10.14,132,13.10.13,0,1,308,101,129,3,1913,1,46,TRUE
1422335,3631428,16,PressLabs/toplytics,PHP,08.05.13,03.01.17,58896,1,1,1,12.08.14,12.08.14,1,271,1,1,4,1422335,188670007,03.01.17,311,13,03.01.17,191,12.08.14,0,0,875,0,163,28,1770,0,0,FALSE
1433880,12191836,12,stackstrap/stackstrap,Python,16.10.13,16.04.15,68350,1,1,1,22.11.13,26.07.14,1,134,3,12,3,1433880,58780133,16.04.15,311,3,16.04.15,211,22.11.13,0,0,510,246,178,33,1609,0,0,FALSE
1435502,11162906,70,flynn-archive/shelf,Go,18.10.13,20.06.14,27348,1,1,1,17.03.14,20.06.14,0,191,1,3,2,1435502,28074772,20.06.14,42,6,02.08.14,27,17.03.14,0,1,95,95,23,4,1607,1,43,TRUE
1435769,399639,578,samuel/go-zookeeper,Go,23.06.12,11.02.17,5897,1,1,1,19.10.13,26.08.16,1,141,1,14,1,1435769,200758127,11.02.17,172,22,28.10.16,217,20.10.13,0,0,1210,1042,68,149,2089,0,-106,FALSE
1441409,5956588,12,MattesGroeger/TravisExample-iOS,Objective-C,20.10.13,01.05.14,67663,1,1,1,20.10.13,01.05.14,1,391,1,23,1,1441409,24202158,01.05.14,48,1,01.05.14,39,20.10.13,0,0,193,193,39,0,1605,0,0,FALSE
