id,name,language,commits,stars,forks,last_change_at,bucket,external,author1,author2,actual,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributorsOnConfigurationFile,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage
fdbe109f-f1a5-4be8-97bc-2cfa4f7458c8,belgoros/jlc-invest,Ruby,532,0,0,25.06.20 08:04,small,1,0,1,1,0,0,11,1,0,1,2,6,3,0,0,0,303,0.033834586,102,18,4,0.851851852,222.5882353,0,0.210526316,335
77d4acd7-022f-40ee-af35-582553cc794e,bem/bem-core,JavaScript,1649,274,102,04.09.20 00:50,popular,0,0,,0,3,4,30,1,0,1,112,7,0,1,0,0,234,0.010309278,190,17,7,0.827586207,317.8669065,0,0.699088146,627126.1154
315b5c9d-7266-4423-98fb-a7d6920ae86d,bh107/benchpress,Python,2608,5,3,31.05.19 14:57,small,0,0,,0,0,0,19,1,0,1,2,5,4,0,0,1,2480,0.004217791,2276,11,1,0.87704918,92.51807229,0,0.308510638,7358.666667
9209b585-5bfb-4553-938a-fe6e0f3e43f8,binux/pyspider,Python,1181,14833,3562,22.10.20 04:00,small,1,1,,1,1,2,45,3,0,1,2,13,14,0,1,0,29,0.072819644,28,86,6,0.318264014,2130.554217,0,0.393762183,1829010.289
ad677dbe-6520-4205-aa92-07de0d7bb171,boostorg/odeint,C++,1378,20,32,14.08.20 05:08,small,1,1,,1,1,3,46,6,0,1,12,9,12,0,0,0,1036,0.038461538,2440,53,2,0,0,0,0.833333333,0
fbe30855-2e4c-45ce-b0c8-5796d4ed6588,bsm/models,Ruby,71,0,2,13.01.21 09:43,small,0,0,,0,0,0,6,2,0,1,3,4,0,0,0,0,10,0.197183099,51,14,2,0.780487805,210.4090909,0,0.206896552,264211.6667
00ef704c-5985-464a-895e-a6ad02884ca2,camptocamp/c2cgeoform,JavaScript,745,3,8,11.12.20 14:31,medium,1,1,,1,1,0,50,1,0,1,31,10,7,0,0,1,280,0.020134228,1147,15,5,0.703780069,252.6506211,0,0.354140127,177689
2a1bf7af-f152-4126-acae-f1e44d4a6b2f,catarse/catarse,Ruby,16820,1551,880,21.01.21 19:51,big,0,0,,0,1,1,25,1,0,1,3,8,7,1,0,0,982,0.001783591,399,30,6,0,0,0,0,0
90c86a8c-c97a-4cac-8170-010e505ce688,chennanni/note-tech,Java,931,1,0,18.01.21 10:26,small,0,0,,0,0,0,16,2,0,1,14,3,3,0,0,0,50,0.018259936,45,17,2,0.888753056,74.99312242,0,0,6997.75
6f3ab81a-b442-4c34-9443-e6924847c20b,codecentric/spring-boot-admin,Java,1428,9266,2569,05.11.20 09:05,popular,1,1,,1,1,0,28,1,0,1,1,10,4,0,1,0,90,0.018672199,128,27,5,0.706460144,882.0843849,5.53E-04,0.262313226,99463.34629
